Frame count,Player 1 Keypoints,Player 2 Keypoints,Ball Position,Shot Type,Player 1 RL World Position,Player 2 RL World Position,Ball RL World Position,Who Hit the Ball
3,"[[0.2905481159687042, 0.6677370071411133], [0.29152190685272217, 0.6586671471595764], [0.0, 0.0], [0.2995736002922058, 0.652533769607544], [0.0, 0.0], [0.320052832365036, 0.6758334040641785], [0.30937233567237854, 0.6799611449241638], [0.34045472741127014, 0.72149258852005], [0.0, 0.0], [0.32950925827026367, 0.7569870948791504], [0.31525829434394836, 0.7567732334136963], [0.34222114086151123, 0.7781413793563843], [0.3348473608493805, 0.7786280512809753], [0.31718429923057556, 0.8464220762252808], [0.31441980600357056, 0.8458436727523804], [0.32877179980278015, 0.9330454468727112], [0.32560497522354126, 0.9291128516197205]]","[[0.41939157247543335, 0.5838108658790588], [0.42287832498550415, 0.5750766396522522], [0.0, 0.0], [0.43307986855506897, 0.5774377584457397], [0.0, 0.0], [0.4287693500518799, 0.6181501150131226], [0.4600692391395569, 0.6075419187545776], [0.4220903515815735, 0.6773078441619873], [0.476663202047348, 0.6607786417007446], [0.41541633009910583, 0.7264858484268188], [0.0, 0.0], [0.445381224155426, 0.7169233560562134], [0.4670349955558777, 0.7130839228630066], [0.4484422206878662, 0.7973325848579407], [0.47911983728408813, 0.789586067199707], [0.46243706345558167, 0.8808193802833557], [0.49191322922706604, 0.8675055503845215]]","[86, 318]",tight_straight drive,"[2.594, 4.415, 0.604]","[3.15, 4.674, 0.637]","[1.707, 3.359, 0.463]",1 hit the ball
4,"[[0.28547075390815735, 0.6676055192947388], [0.2870536744594574, 0.658900797367096], [0.0, 0.0], [0.2959839105606079, 0.6543798446655273], [0.0, 0.0], [0.3141923248767853, 0.6774105429649353], [0.30188411474227905, 0.6851038336753845], [0.3376355767250061, 0.7193994522094727], [0.0, 0.0], [0.32630008459091187, 0.7515427470207214], [0.3146863877773285, 0.7570135593414307], [0.3344334363937378, 0.7730695009231567], [0.3260781764984131, 0.7751609086990356], [0.3119264245033264, 0.8406167030334473], [0.3087317645549774, 0.8420400023460388], [0.3249197006225586, 0.9278693199157715], [0.3245796263217926, 0.9272316694259644]]","[[0.4222535490989685, 0.5738444924354553], [0.42568936944007874, 0.5650385618209839], [0.0, 0.0], [0.4343410134315491, 0.5703856348991394], [0.0, 0.0], [0.43019527196884155, 0.6137648820877075], [0.46269434690475464, 0.6036056280136108], [0.42313486337661743, 0.6737382411956787], [0.4774785041809082, 0.6582323908805847], [0.41839274764060974, 0.7187917828559875], [0.0, 0.0], [0.4481041431427002, 0.7126673460006714], [0.4711625576019287, 0.7091949582099915], [0.45054545998573303, 0.7917382121086121], [0.48252367973327637, 0.7841395139694214], [0.4633532464504242, 0.8766176104545593], [0.49640995264053345, 0.8636510372161865]]","[82, 327]",tight_straight drive,"[2.541, 4.368, 0.598]","[3.177, 4.675, 0.637]","[1.767, 3.471, 0.479]",1 hit the ball
5,"[[0.2854522168636322, 0.6676940321922302], [0.2870182991027832, 0.6589943766593933], [0.0, 0.0], [0.2959330081939697, 0.654482364654541], [0.0, 0.0], [0.31416913866996765, 0.6774946451187134], [0.3019372224807739, 0.6851385235786438], [0.3375917375087738, 0.719404935836792], [0.0, 0.0], [0.326265811920166, 0.7515659928321838], [0.31471532583236694, 0.7569954991340637], [0.33443766832351685, 0.7730867266654968], [0.3261272609233856, 0.7751566767692566], [0.3119635283946991, 0.8407058715820312], [0.3087773621082306, 0.8421087265014648], [0.3249507248401642, 0.9279961585998535], [0.32459399104118347, 0.9273269772529602]]","[[0.42218056321144104, 0.5738751888275146], [0.42561835050582886, 0.5650595426559448], [0.0, 0.0], [0.43428048491477966, 0.5704096555709839], [0.0, 0.0], [0.43011361360549927, 0.6138312220573425], [0.462723970413208, 0.6036684513092041], [0.423093318939209, 0.6737774610519409], [0.4774302542209625, 0.6582217812538147], [0.41837960481643677, 0.7187913060188293], [0.0, 0.0], [0.4480622708797455, 0.7128199338912964], [0.47118788957595825, 0.7093434929847717], [0.45058155059814453, 0.7919439673423767], [0.4825146198272705, 0.784332811832428], [0.46346062421798706, 0.8767485618591309], [0.496316522359848, 0.8637310266494751]]","[82, 327]",tight_straight drive,"[2.535, 4.363, 0.597]","[3.194, 4.676, 0.637]","[1.767, 3.471, 0.479]",1 hit the ball
6,"[[0.27729517221450806, 0.6693757176399231], [0.2793741822242737, 0.6607851386070251], [0.0, 0.0], [0.2878819704055786, 0.6591733694076538], [0.0, 0.0], [0.3059120774269104, 0.6848054528236389], [0.28705137968063354, 0.693906307220459], [0.33200985193252563, 0.7239665389060974], [0.3007115423679352, 0.736918032169342], [0.3225492835044861, 0.7588253617286682], [0.2974390685558319, 0.7699873447418213], [0.33099645376205444, 0.780360758304596], [0.3174580931663513, 0.7821251749992371], [0.308066725730896, 0.8532487750053406], [0.29190897941589355, 0.852115273475647], [0.3294205069541931, 0.9364529252052307], [0.307370662689209, 0.9269466996192932]]","[[0.0, 0.0], [0.42938232421875, 0.5595287084579468], [0.0, 0.0], [0.4363015294075012, 0.5636553764343262], [0.0, 0.0], [0.43440142273902893, 0.6055217981338501], [0.4650474190711975, 0.5972472429275513], [0.4241126477718353, 0.6602066159248352], [0.4776817858219147, 0.653239369392395], [0.41700610518455505, 0.6903606653213501], [0.0, 0.0], [0.45238274335861206, 0.7123953700065613], [0.473760187625885, 0.7097300291061401], [0.4520558714866638, 0.7918816208839417], [0.48062238097190857, 0.7858082056045532], [0.4619153141975403, 0.8734092116355896], [0.491472065448761, 0.8639062643051147]]","[82, 327]",tight_straight drive,"[2.535, 4.363, 0.597]","[3.194, 4.676, 0.637]","[1.767, 3.471, 0.479]",1 hit the ball
7,"[[0.2734755575656891, 0.6767857670783997], [0.27445879578590393, 0.6678870320320129], [0.0, 0.0], [0.28195011615753174, 0.662580132484436], [0.0, 0.0], [0.3000292181968689, 0.6826868653297424], [0.28879398107528687, 0.6911329627037048], [0.3253965973854065, 0.724622368812561], [0.0, 0.0], [0.3173864185810089, 0.756432831287384], [0.30370208621025085, 0.7544222474098206], [0.3231501579284668, 0.7795870304107666], [0.3139585554599762, 0.7825661301612854], [0.30698162317276, 0.8469812273979187], [0.2906762361526489, 0.8491201400756836], [0.32377055287361145, 0.9357728958129883], [0.2986435890197754, 0.9354221820831299]]","[[0.4272949695587158, 0.5606657862663269], [0.43037500977516174, 0.5513659715652466], [0.0, 0.0], [0.4386880397796631, 0.5562770962715149], [0.0, 0.0], [0.43726491928100586, 0.6005957126617432], [0.468506395816803, 0.5911836624145508], [0.42707642912864685, 0.6562643051147461], [0.48276472091674805, 0.6524403691291809], [0.41810908913612366, 0.6740537285804749], [0.0, 0.0], [0.45391497015953064, 0.7107558250427246], [0.4755464494228363, 0.7069168090820312], [0.45142537355422974, 0.7919791340827942], [0.479710191488266, 0.783228874206543], [0.45919838547706604, 0.8737176060676575], [0.4885497987270355, 0.8611012697219849]]","[82, 327]",tight_straight drive,"[2.46, 4.291, 0.588]","[3.175, 4.675, 0.637]","[1.767, 3.471, 0.479]",1 hit the ball
8,"[[0.2608420252799988, 0.6909836530685425], [0.2615733742713928, 0.6825138330459595], [0.0, 0.0], [0.2709915339946747, 0.6753880977630615], [0.0, 0.0], [0.2917024493217468, 0.6928136348724365], [0.2850520610809326, 0.6949138045310974], [0.30930811166763306, 0.7389148473739624], [0.0, 0.0], [0.3018297553062439, 0.7637875080108643], [0.0, 0.0], [0.32030224800109863, 0.7793956398963928], [0.31523776054382324, 0.7791844606399536], [0.2935102581977844, 0.8507540225982666], [0.2921779453754425, 0.8497071266174316], [0.3028917908668518, 0.9398239254951477], [0.3011105954647064, 0.9348094463348389]]","[[0.0, 0.0], [0.43248993158340454, 0.5508612990379333], [0.0, 0.0], [0.44009074568748474, 0.5542417168617249], [0.0, 0.0], [0.4401908814907074, 0.597540020942688], [0.47285905480384827, 0.5863713026046753], [0.4296961724758148, 0.655077338218689], [0.0, 0.0], [0.42056503891944885, 0.6664369106292725], [0.0, 0.0], [0.45656508207321167, 0.7082623243331909], [0.47899729013442993, 0.7039282917976379], [0.45641303062438965, 0.7885569930076599], [0.48282089829444885, 0.7803581953048706], [0.46206188201904297, 0.8702492713928223], [0.48710983991622925, 0.8589014410972595]]","[82, 327]",tight_straight drive,"[2.43, 4.262, 0.584]","[3.164, 4.675, 0.637]","[1.767, 3.471, 0.479]",1 hit the ball
9,"[[0.2545854449272156, 0.7046175599098206], [0.2547115683555603, 0.6957263350486755], [0.0, 0.0], [0.2629310190677643, 0.6842155456542969], [0.0, 0.0], [0.2845908999443054, 0.6998299360275269], [0.28031647205352783, 0.6972431540489197], [0.2997460663318634, 0.7470530271530151], [0.2930753231048584, 0.7475626468658447], [0.2945171594619751, 0.7799909710884094], [0.2860981822013855, 0.7752863764762878], [0.3138430118560791, 0.7875756025314331], [0.31009331345558167, 0.7858706712722778], [0.29136040806770325, 0.8684708476066589], [0.28698045015335083, 0.8658852577209473], [0.29528507590293884, 0.9447336792945862], [0.28415364027023315, 0.9363381862640381]]","[[0.4344518184661865, 0.5560866594314575], [0.4363080859184265, 0.5481246709823608], [0.0, 0.0], [0.4435400068759918, 0.5500189661979675], [0.0, 0.0], [0.4463884234428406, 0.5922703146934509], [0.4712595045566559, 0.5860719084739685], [0.4358615279197693, 0.6486164331436157], [0.4744061827659607, 0.6400313973426819], [0.41888561844825745, 0.6569555997848511], [0.0, 0.0], [0.4608441889286041, 0.7065978050231934], [0.47804921865463257, 0.7031236290931702], [0.45377832651138306, 0.778285801410675], [0.4785035252571106, 0.7755802869796753], [0.4614989757537842, 0.8661986589431763], [0.4864434599876404, 0.858092725276947]]","[74, 348]",tight_straight drive,"[2.44, 4.272, 0.585]","[3.159, 4.675, 0.636]","[1.885, 3.684, 0.51]",1 hit the ball
10,"[[0.0, 0.0], [0.24733105301856995, 0.7033125162124634], [0.0, 0.0], [0.2520671784877777, 0.6937757730484009], [0.0, 0.0], [0.27476605772972107, 0.7105159163475037], [0.2772524952888489, 0.7027909159660339], [0.2917160987854004, 0.764263927936554], [0.28874680399894714, 0.7579114437103271], [0.28393226861953735, 0.7924664616584778], [0.27944809198379517, 0.7848159074783325], [0.3069983124732971, 0.7953090071678162], [0.3085598051548004, 0.7916329503059387], [0.2843139171600342, 0.8782123327255249], [0.288152813911438, 0.873850405216217], [0.2883930206298828, 0.9477822184562683], [0.2895767390727997, 0.9357293248176575]]","[[0.4355679154396057, 0.5573638677597046], [0.4377167224884033, 0.5498219132423401], [0.0, 0.0], [0.4452512264251709, 0.5516448020935059], [0.0, 0.0], [0.4469541907310486, 0.5928404331207275], [0.47397881746292114, 0.5865516066551208], [0.43642210960388184, 0.6477710604667664], [0.4799991548061371, 0.6392683386802673], [0.4208671450614929, 0.6521260142326355], [0.0, 0.0], [0.4621484875679016, 0.7024680376052856], [0.48011302947998047, 0.6989598870277405], [0.45502424240112305, 0.7762261033058167], [0.47625046968460083, 0.773471474647522], [0.4644394516944885, 0.8623083233833313], [0.48298805952072144, 0.8538756370544434]]","[74, 348]",tight_straight drive,"[2.366, 4.195, 0.575]","[3.156, 4.675, 0.636]","[1.885, 3.684, 0.51]",1 hit the ball
11,"[[0.0, 0.0], [0.24729755520820618, 0.7033406496047974], [0.0, 0.0], [0.252094566822052, 0.6937177181243896], [0.0, 0.0], [0.27480465173721313, 0.7104256749153137], [0.27731332182884216, 0.7030434608459473], [0.2920107841491699, 0.7639356851577759], [0.28904831409454346, 0.7579621076583862], [0.2841998040676117, 0.7925282120704651], [0.2793295979499817, 0.7850714921951294], [0.30713170766830444, 0.7954685688018799], [0.30830657482147217, 0.7919343709945679], [0.28609663248062134, 0.8783109188079834], [0.28652435541152954, 0.8740996718406677], [0.2913806438446045, 0.9478103518486023], [0.28668278455734253, 0.9359918236732483]]","[[0.43556874990463257, 0.5574160814285278], [0.4377121031284332, 0.5498778223991394], [0.0, 0.0], [0.44522565603256226, 0.5516884922981262], [0.0, 0.0], [0.44690829515457153, 0.5928612351417542], [0.47400861978530884, 0.5865745544433594], [0.43639644980430603, 0.6477876305580139], [0.48012232780456543, 0.6392930746078491], [0.42089685797691345, 0.6521450281143188], [0.0, 0.0], [0.4621410369873047, 0.7024010419845581], [0.4801539480686188, 0.69889897108078], [0.4549999237060547, 0.7760911583900452], [0.47626304626464844, 0.7733389735221863], [0.46437543630599976, 0.8621367812156677], [0.48296356201171875, 0.8537139296531677]]","[74, 348]",tight_straight drive,"[2.39, 4.22, 0.578]","[3.142, 4.674, 0.636]","[1.885, 3.684, 0.51]",1 hit the ball
12,"[[0.24540071189403534, 0.7297799587249756], [0.2445463240146637, 0.7216250896453857], [0.0, 0.0], [0.24919526278972626, 0.71044921875], [0.0, 0.0], [0.27070352435112, 0.7239856123924255], [0.2690073847770691, 0.7234923243522644], [0.2855771481990814, 0.7779249548912048], [0.2795472741127014, 0.7792618870735168], [0.274275004863739, 0.8069561719894409], [0.2658967673778534, 0.7989304661750793], [0.30344605445861816, 0.8057245016098022], [0.29995012283325195, 0.8050742149353027], [0.2851216793060303, 0.8813365697860718], [0.2699175477027893, 0.8801340460777283], [0.3003184199333191, 0.9474784731864929], [0.27000337839126587, 0.9399313926696777]]","[[0.44166237115859985, 0.5610793232917786], [0.44441500306129456, 0.5535112023353577], [0.0, 0.0], [0.453209787607193, 0.553619921207428], [0.0, 0.0], [0.4608939588069916, 0.5906198024749756], [0.4685599207878113, 0.5879124402999878], [0.4577879011631012, 0.6395230293273926], [0.466775119304657, 0.6328593492507935], [0.4423537254333496, 0.6419064402580261], [0.44369229674339294, 0.6403404474258423], [0.47090592980384827, 0.697763204574585], [0.47706252336502075, 0.6947506666183472], [0.46104612946510315, 0.7712288498878479], [0.4766002595424652, 0.7683212161064148], [0.46899113059043884, 0.8519118428230286], [0.4869697690010071, 0.845500111579895]]","[81, 340]",tight_straight drive,"[2.377, 4.207, 0.577]","[3.142, 4.674, 0.636]","[1.842, 3.596, 0.497]",1 hit the ball
